specobjid,z,z_noqso,snMedian,run2d,ra,dec,plate,mjd,fiberid
6910802875955257344,0.02605039,0.02605039,108.8165,v5_10_0,356.78833,15.596743,6138,56598,106
3377787487832350720,4.91277E-05,0,98.86369,104,162.98505,40.109464,3000,54843,319
1874677820647565312,0.01656925,0,98.104,26,49.742075,41.470119,1665,52976,198
6910873794455248896,0.06571829,0.06571829,97.1017,v5_10_0,355.52789,15.024204,6138,56598,364
1874764682066159616,0.01674858,0,96.93578,26,49.964517,41.573585,1665,52976,514
2626900191420193792,0.000110465,0,96.89727,103,299.90767,19.377499,2333,53682,639
3377816075134672896,-6.37754E-05,0,96.61423,104,163.81801,40.53878,3000,54843,423
2626897167763217408,-5.118889E-05,0,96.30796,103,299.77683,19.063837,2333,53682,628
1874756710606858240,0.01790925,0,94.13022,26,49.861444,41.540485,1665,52976,485
1874765781577787392,0.02143373,0,92.63803,26,49.91897,41.548643,1665,52976,518
1874675621624309760,0.01993026,0,92.63771,26,49.797033,41.353189,1665,52976,190
1874776226938251264,0.01569851,0,90.91905,26,50.251707,41.562451,1665,52976,556
1874654181147568128,0.01528424,0,90.70859,26,50.336818,41.46005,1665,52976,112
1874775677182437376,0.01763928,0,90.41394,26,50.211261,41.600418,1665,52976,554
1874695412833609728,0.01884922,0,89.71014,26,49.179073,41.324907,1665,52976,262
1874773753037088768,0.01470186,0,89.63552,26,50.241298,41.893855,1665,52976,547
3614251482712481792,-6.288663E-05,0,89.16738,104,42.243328,33.655144,3210,54876,410
6911045868024995840,0.07992732,0.07992732,88.94772,v5_10_0,357.42404,16.391444,6138,56598,990
1874676721135937536,0.01810326,0,88.76408,26,49.843308,41.429347,1665,52976,194
1874672048211519488,0.02241512,0,88.21912,26,50.064674,41.398649,1665,52976,177
3201032191031142400,-4.497399E-05,0,87.71449,26,38.071341,71.767371,2843,54453,359
3201096512461367296,8.361885E-05,0,87.61693,26,44.707228,71.725987,2843,54453,593
1874753961827788800,0.01649831,0,87.60401,26,49.535025,41.754357,1665,52976,475
6910987593908723712,0.1093461,0.1093461,87.55534,v5_10_0,356.17283,16.224774,6138,56598,778
1874624769211525120,0.01264979,0,86.87775,26,51.151958,40.690808,1665,52976,5
3713386200657141760,-5.479628E-06,0,86.70297,104,244.86625,6.630191,3298,54924,612
1874766056455694336,0.01055127,0,86.64437,26,50.137426,41.574133,1665,52976,519
1874632465792919552,0.02068283,0,86.44296,26,51.37309,41.24087,1665,52976,33
1874688266008029184,0.01460003,0,86.21597,26,49.462871,41.450812,1665,52976,236
3198762798997858304,-1.01914E-05,0,86.1198,26,84.172022,4.8985528,2841,54451,295
1874696512345237504,0.02099576,0,85.85024,26,49.249011,41.356596,1665,52976,266
1874763582554531840,0.02489975,0,85.43336,26,49.949139,41.596339,1665,52976,510
1874759734263834624,0.02060363,0,85.25058,26,49.823992,41.644349,1665,52976,496
3198745756567627776,-1.282659E-05,0,85.17374,26,84.400464,5.9029948,2841,54451,233
1874710805996398592,0.01523407,0,85.10964,26,48.535112,41.292108,1665,52976,318
1874714654287095808,0.0162525,0,84.56775,26,48.698876,42.222719,1665,52976,332
1874667100409194496,0.01649445,0,84.12257,26,50.205517,41.370693,1665,52976,159
3161684794232825856,-0.0001613299,0,83.80203,26,256.55352,29.505078,2808,54524,574
1874667650165008384,0.01467874,0,83.59201,26,50.00682,41.251143,1665,52976,161
610310625591060480,0.01552419,0,83.16241,26,115.32543,34.232176,542,51993,265
1874670948699891712,0.02045597,0,82.88866,26,49.917485,41.329178,1665,52976,173
6911034872908718080,0.0823353,0.0823353,82.58347,v5_10_0,357.29389,16.976284,6138,56598,950
1874761108653369344,0.0150172,0,82.28208,26,49.892654,41.58053,1665,52976,501
4156965479582244864,0.04019401,0.04019401,82.22662,v5_10_0,122.53945,47.001927,3692,55186,520
1874635489449895936,0.0211855,0,82.17688,26,50.630633,40.816872,1665,52976,44
6911047792170344448,0.08847268,0.08847268,81.91137,v5_10_0,357.56847,16.470724,6138,56598,997
466288344704247808,0.02360575,0,81.77422,26,53.005724,0.27945532,414,51901,603
1874692938932447232,0.02737217,0,81.67717,26,49.251037,40.728108,1665,52976,253
6910999138780815360,0.1485457,0.1485457,81.62279,v5_10_0,356.3854,16.343791,6138,56598,820
1874661877728962560,0.01398116,0,81.19588,26,50.02162,40.906241,1665,52976,140
1874750663292905472,0.02154518,0,81.17868,26,49.593772,41.409774,1665,52976,463
443758801896630272,0.04201467,0,81.14403,26,13.469751,0.97960817,394,51913,561
609219084852160512,0.01566026,0,80.8117,26,114.07002,33.122711,541,51959,390
750024746116081664,0.0178122,0,80.78613,26,31.079067,-8.7353057,666,52149,638
749902975203305472,0.0158319,0,80.56694,26,30.202577,-9.0025456,666,52149,195
1874669574310356992,0.01835726,0,80.53987,26,49.935591,41.278073,1665,52976,168
3228039495580411904,0.0002304041,0,80.28459,26,148.7554,-0.349918,2867,54479,307
828773694066157568,0.0261858,0,80.20956,26,333.68746,13.846532,736,52210,405
443765948722210816,0.04204116,0,79.93875,26,14.024966,0.62860773,394,51913,587
609210013881231360,0.01546652,0,79.23103,26,113.75946,32.822126,541,51959,357
6910918874431987712,0.112422,0.112422,78.82109,v5_10_0,355.01007,16.479631,6138,56598,528
3201100910507878400,-0.0001365035,0,78.67309,26,45.775449,72.553706,2843,54453,609
3240403778477778944,0.02332293,0,78.5882,26,21.760036,-10.265265,2878,54465,232
6911037346809880576,0.07941755,0.07941755,78.25297,v5_10_0,357.31449,16.841303,6138,56598,959
483026483732834304,0.01693125,0,78.05495,26,27.308494,13.055325,429,51820,56
2968034675764783104,0.02305673,0,78.01536,26,36.505206,1.0180891,2636,54082,591
443715646065240064,0.06544808,0,77.9436,26,12.739061,1.1531943,394,51913,404
1875800972026996736,0.01660994,0,77.83248,26,49.742114,41.470121,1666,52991,188
2582988171763542016,0.01352035,0,77.81382,26,144.49166,25.494791,2294,53733,632
828785513816156160,0.02523493,0,77.69085,26,333.9978,14.124968,736,52210,448
6911009034385465344,0.1392709,0.1392709,77.53374,v5_10_0,356.4458,16.1626,6138,56598,856
635037546463651840,0.02807627,0,76.93941,26,131.68318,2.5374112,564,52224,109
443694480466405376,0.04323596,0,76.92883,26,11.999225,1.2025442,394,51913,327
2595230970286204928,0.1933094,0,76.66248,26,321.04997,-7.446869,2305,54414,115
5826714086994321408,0.03035961,0.03035961,76.64251,v5_10_0,133.69617,20.220262,5175,55955,662
1874648683589429248,0.01434225,0,76.48476,26,50.392688,40.72238,1665,52976,92
1874731971595233280,0.01657564,0,76.45953,26,49.11468,41.627042,1665,52976,395
1874764132310345728,0.01679057,0,76.34289,26,50.011419,41.509359,1665,52976,512
3238239116906752000,0.000680025,0,76.14309,26,172.82744,-7.336265,2876,54581,549
1875891681736288256,0.01791763,0,75.9017,26,49.861436,41.540498,1666,52991,518
1874645659932452864,0.01779299,0,75.60054,26,50.386853,40.410211,1665,52976,81
1874732521351047168,0.01786132,0,75.34254,26,49.004132,42.074297,1665,52976,397
1874689090641750016,0.01108903,0,75.24151,26,49.498183,41.520358,1665,52976,239
443776394082674688,0.04481857,0,75.19594,26,14.216213,0.0058592992,394,51913,625
1874759459385927680,0.01406679,0,74.99579,26,49.742787,41.702388,1665,52976,495
1874777051571972096,0.02404649,0,74.5503,26,50.392521,41.50615,1665,52976,559
